Sample_ID,otu0110,otu0010,otu0699,otu0026,otu0123,otu0304,otu1283,otu1124,otu0057,otu2814,otu0091,otu0297,otu0069,otu0283,otu0253,otu1391,otu1817,otu1081,otu0113,otu0466,otu1670,otu0033,otu0745,otu1462,otu0163,otu0221,otu0340,otu38547,otu1343,otu2009,otu1068,otu3986,otu2981,otu0080,otu0291,otu0036,otu1160,otu2676,otu1328,otu2317,otu1522,otu2034,otu4205,otu0292,otu0402,otu0695,otu1511,otu3730,otu18047,otu8979,otu9826,otu0535,otu1156,otu1298,otu1635,otu1780,otu2304,otu2677,otu2867,otu2928,otu3047,otu3656,otu3791,otu4611,otu4818,otu5027,otu5317,otu5511,otu5993,otu6247,otu9250,otu9983,otu10037,otu12378,otu13915,otu14417,otu17082,otu24962,otu30106,otu38538,otu38578,otu38613,otu38648,otu38709,otu38715,otu38739,otu38745,otu38873,otu39011,otu39036,otu39042,otu39075,otu39079,otu39081,otu39107,otu39139,otu39181,otu39182,otu39187,otu39242,otu39245,otu39247,otu39254,otu39256,otu39260,otu39263
TAN1901-CTD11-5,46,1712,0,3974,65,0,0,94,13231,0,115,9,79,47,79,0,3,0,19,294,0,3169,0,0,143,256,0,3,520,0,63,0,0,122,1037,493,0,46,0,20,0,0,0,0,34,22,0,0,0,0,0,153,0,0,0,0,51,0,31,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAN1901-CTD12-1,174,2642,5,2332,63,20,0,14,5141,0,72,19,768,23,42,0,0,0,0,37,0,4336,0,0,187,198,0,20,646,0,144,0,0,0,766,95,0,0,0,0,0,0,0,0,188,119,0,0,0,0,0,72,0,0,0,0,76,0,84,57,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
TAN1901-CTD12-3,172,3162,0,2020,75,21,0,14,4151,0,82,15,789,112,59,0,0,0,51,43,0,4632,22,0,155,278,0,11,894,0,182,0,0,31,605,89,0,0,0,0,0,0,0,0,164,89,0,0,0,2,0,50,0,0,0,14,63,0,75,110,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAN1901-CTD12-5,136,4857,0,1035,195,0,0,18,1383,0,118,149,483,206,198,0,16,0,0,294,0,1207,0,8,190,176,0,48,1801,0,196,0,0,0,72,137,0,0,0,0,0,0,4,76,0,0,17,0,0,0,0,161,0,49,124,34,24,0,49,88,15,0,14,0,0,69,0,0,0,0,0,28,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAN1901-CTD13-1,182,2912,0,2549,74,42,0,10,5778,0,101,10,2130,36,48,0,0,0,0,48,0,4109,0,0,231,363,0,27,869,0,178,0,0,0,845,91,0,0,0,0,0,0,0,0,342,104,0,0,0,1,0,84,0,0,0,0,190,0,105,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,46,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAN1901-CTD13-3,303,2668,0,2598,91,42,0,12,5929,0,78,10,2100,19,46,0,0,0,0,47,0,4290,0,3,330,325,0,19,788,0,186,0,0,0,759,183,0,0,0,0,0,0,0,0,334,153,0,0,0,0,0,76,0,0,0,0,152,0,87,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAN1901-CTD13-5,108,3213,0,2022,77,24,0,44,3807,0,136,68,813,105,127,0,0,0,0,147,0,2579,13,7,291,398,0,31,1724,0,204,0,0,0,503,172,0,0,0,0,0,0,0,32,156,77,0,0,0,0,0,108,0,7,9,18,92,0,82,41,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAN1901-CTD14-1,0,2305,0,806,0,0,0,0,17250,0,62,3,1586,0,0,0,0,0,0,0,0,681,0,0,26,114,0,0,332,0,40,0,0,0,107,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,6,44,0,22,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAN1901-CTD15-1,41,3280,0,842,0,0,0,0,16438,0,20,0,433,0,10,0,0,0,0,5,0,1138,0,0,11,122,0,0,548,0,58,0,0,0,112,36,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,36,0,19,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAN1901-CTD15-3,0,2294,0,596,22,0,0,0,18746,0,22,0,916,0,19,0,0,0,0,6,0,1556,0,0,24,102,0,0,446,0,42,0,0,0,177,29,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,68,0,0,0,0,33,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
